id,first_name,last_name,email,gender,age,student,employed,checking_account,saving_account
1,Yuri,Woollam,ywoollam0@smh.com.au,Male,33,false,false,30495.56,4244392.36
2,Consalve,Audsley,caudsley1@skyrock.com,Male,39,true,false,729910.09,3277128.0
3,Seana,Hinze,shinze2@reverbnation.com,Female,39,true,true,524771.18,2028913.5
4,Ivette,Sisse,isisse3@multiply.com,Female,16,true,true,186207.74,417373.23
5,Travers,Elmhurst,telmhurst4@gnu.org,Male,41,true,false,316689.98,1435229.19
6,Roselle,Theodore,rtheodore5@elegantthemes.com,Female,52,true,false,767879.56,2931223.04
7,Delly,Benito,dbenito6@scientificamerican.com,Female,17,true,false,771528.52,505411.94
8,Stanley,Mogie,smogie7@cafepress.com,Male,93,false,false,720380.47,2723017.0
9,Tobit,Redferne,tredferne8@devhub.com,Male,20,false,true,809351.4,1129449.17
10,Appolonia,Deek,adeek9@flickr.com,Agender,89,false,true,631998.0,2494973.76
11,Renate,Guillford,rguillforda@mac.com,Female,27,false,false,168001.04,2033447.1
12,Nani,Elden,neldenb@google.ca,Female,15,false,true,659192.47,4877058.0
13,Carolyn,Vinnick,cvinnickc@furl.net,Genderfluid,50,false,true,170241.63,107356.77
14,Irene,Dinwoodie,idinwoodied@europa.eu,Female,28,false,false,774457.51,664625.25
15,Roland,Pykett,rpykette@bloglovin.com,Male,23,true,false,454725.0,186434.8
16,Antonie,Tweedie,atweedief@biglobe.ne.jp,Female,61,true,true,327170.58,4522711.0
17,Mal,Brimmell,mbrimmellg@scribd.com,Male,20,false,false,702074.39,3466546.52
18,Dre,Shorbrook,dshorbrookh@angelfire.com,Bigender,51,false,true,953081.3,940340.27
19,Ashby,Lillford,alillfordi@lycos.com,Male,38,true,true,673861.57,4475679.39
20,Dunc,Sealand,dsealandj@msn.com,Male,38,false,true,902100.24,1911342.4
21,Zolly,Nollet,znolletk@edublogs.org,Male,93,false,false,424914.99,1171071.47
22,Debi,Anderbrugge,danderbruggel@pen.io,Female,59,true,false,542112.31,171773.68
23,Ad,Bonwell,abonwellm@blog.com,Male,42,true,false,53657.19,4205138.35
24,Marcelia,Williamson,mwilliamsonn@ft.com,Female,58,false,true,163446.18,1842444.51
25,Jeno,Coggen,jcoggeno@cocolog-nifty.com,Male,100,false,true,419797.86,2200820.0
26,Mariellen,Kristufek,mkristufekp@addtoany.com,Genderqueer,40,false,false,479174.97,4441225.0
27,Erv,Jellico,ejellicoq@baidu.com,Male,16,true,false,533608.05,4537540.0
28,Melvin,Powelee,mpoweleer@wikia.com,Male,65,false,false,483274.51,1677226.35
29,Carlee,Rushbrook,crushbrooks@discuz.net,Female,79,false,false,9768.39,2120102.0
30,Noella,Asee,naseet@telegraph.co.uk,Female,100,false,true,465533.53,3308476.48
31,Trumaine,Kasman,tkasmanu@ebay.co.uk,Male,47,false,false,392960.73,3220417.27
32,Guinevere,Borborough,gborboroughv@miitbeian.gov.cn,Female,35,false,false,635749.43,3634939.1
33,Doralyn,L'Episcopi,dlepiscopiw@usa.gov,Female,36,true,false,755308.45,3772460.49
34,Carlo,Gierek,cgierekx@fema.gov,Male,55,true,false,718769.0,1773454.61
35,Ashien,Ackhurst,aackhursty@weather.com,Female,68,false,false,664723.97,3081408.38
36,Shirl,Cassely,scasselyz@geocities.jp,Female,73,true,false,250600.44,1980097.88
37,Boyce,Gladwish,bgladwish10@europa.eu,Male,17,false,false,505057.53,4202163.61
38,Elysha,Alyokhin,ealyokhin11@dagondesign.com,Female,60,true,true,507937.87,1737458.05
39,Minnaminnie,Gallardo,mgallardo12@phpbb.com,Female,40,true,true,190145.96,4072290.68
